"Name","Action","Direction"
"WFDPRINT-SPOOL-Out-Active","Allow","Outbound"
"NETDIS-SSDPSrv-Out-UDP-Active","Allow","Outbound"
"NETDIS-WSDEVNT-Out-TCP-Active","Allow","Outbound"
"WFDPRINT-SPOOL-In-Active","Allow","Inbound"
"RemoteAssistance-Out-TCP-Active","Allow","Outbound"
"CoreNet-ICMP6-PTB-Out","Allow","Outbound"
"CDPSvc-Out-UDP","Allow","Outbound"
"CoreNet-IPv6-In","Allow","Inbound"
"CDPSvc-WFD-Out-TCP","Allow","Outbound"
"MDNS-Out-UDP-Domain-Active","Allow","Outbound"
"DeliveryOptimization-UDP-In","Allow","Inbound"
"CoreNet-ICMP6-PP-Out","Allow","Outbound"
"CoreNet-ICMP6-RA-In","Allow","Inbound"
"CoreNet-ICMP4-DUFRAG-In","Allow","Inbound"
"CoreNet-DHCP-In","Allow","Inbound"
"NETDIS-DAS-In-UDP-Active","Allow","Inbound"
"CoreNet-DHCPV6-In","Allow","Inbound"
"CDPSvc-Out-TCP","Allow","Outbound"
"WFDPRINT-SCAN-In-Active","Allow","Inbound"
"NETDIS-FDPHOST-In-UDP-Active","Allow","Inbound"
"CoreNet-ICMP6-RS-Out","Allow","Outbound"
"RemoteAssistance-SSDPSrv-Out-UDP-Active","Allow","Outbound"
"RemoteAssistance-SSDPSrv-Out-TCP-Active","Allow","Outbound"
"NETDIS-WSDEVNT-In-TCP-Active","Allow","Inbound"
"CoreNet-ICMP6-NDS-In","Allow","Inbound"
"RemoteAssistance-DCOM-In-TCP-NoScope-Active","Allow","Inbound"
"NETDIS-UPnPHost-Out-TCP-Active","Allow","Outbound"
"NETDIS-WSDEVNTS-In-TCP-Active","Allow","Inbound"
"RemoteAssistance-RAServer-In-TCP-NoScope-Active","Allow","Inbound"
"NETDIS-UPnPHost-In-TCP-Active","Allow","Inbound"
"CoreNet-ICMP6-LR2-Out","Allow","Outbound"
"NVS-FrameServer-In-UDP-NoScope","Allow","Inbound"
"Microsoft-Windows-Enrollment-WinRT-TCP-Out","Allow","Outbound"
"MDNS-Out-UDP-Public-Active","Allow","Outbound"
"DeliveryOptimization-TCP-In","Allow","Inbound"
"CoreNet-ICMP6-LD-Out","Allow","Outbound"
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out","Allow","Outbound"
"CoreNet-Teredo-Out","Allow","Outbound"
"CoreNet-ICMP6-RS-In","Allow","Inbound"
"WirelessDisplay-Infra-In-TCP","Allow","Inbound"
"NETDIS-FDRESPUB-WSD-In-UDP-Active","Allow","Inbound"
"CoreNet-GP-LSASS-Out-TCP","Allow","Outbound"
"Microsoft-Windows-Troubleshooting-HTTP-HTTPS-Out","Allow","Outbound"
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope-Active","Allow","Inbound"
