"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"7000","ChalasiMbiraDevSecOps","System.Byte[]","10330","(0)","0","Error","The l1vhlwf service failed to start due to the following error: 
%%3224698910","Service Control Manager","System.String[]","3221232472","2025/03/05 17:52:13","2025/03/05 17:52:13",,,
"3503","ChalasiMbira-DevSecOps-PC","System.Byte[]","10255","(5000)","5000","Error","Device Association Service detected an endpoint discovery failure.","Microsoft-Windows-DeviceAssociationService","System.String[]","3503","2025/03/05 17:51:51","2025/03/05 17:51:51","",,
"10005","ChalasiMbira-DevSecOps-PC","System.Byte[]","10240","(0)","0","Error","The description for Event ID '10005' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'1115', 'wuauserv', 'Unavailable', '{E60687F7-01A1-40AA-86AC-DB1CBF673334}'","DCOM","System.String[]","10005","2025/03/05 17:51:49","2025/03/05 17:51:49","",,
"10005","ChalasiMbira-DevSecOps-PC","System.Byte[]","10239","(0)","0","Error","The description for Event ID '10005' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'1115', 'wuauserv', 'Unavailable', '{E60687F7-01A1-40AA-86AC-DB1CBF673334}'","DCOM","System.String[]","10005","2025/03/05 17:51:49","2025/03/05 17:51:49","",,
"7000","ChalasiMbira-DevSecOps-PC","System.Byte[]","10166","(0)","0","Error","The l1vhlwf service failed to start due to the following error: 
%%3224698910","Service Control Manager","System.String[]","3221232472","2025/03/05 17:41:20","2025/03/05 17:41:20",,,
"3503","CharlieMbira","System.Byte[]","10052","(5000)","5000","Error","Device Association Service detected an endpoint discovery failure.","Microsoft-Windows-DeviceAssociationService","System.String[]","3503","2025/03/05 17:40:56","2025/03/05 17:40:56","",,
"3503","CharlieMbira","System.Byte[]","10051","(5000)","5000","Error","Device Association Service detected an endpoint discovery failure.","Microsoft-Windows-DeviceAssociationService","System.String[]","3503","2025/03/05 17:40:56","2025/03/05 17:40:56","",,
"7011","CharlieMbira","System.Byte[]","9985","(0)","0","Error","A timeout (30000 milliseconds) was reached while waiting for a transaction response from the WinDefend service.","Service Control Manager","System.String[]","3221232483","2025/03/05 15:35:58","2025/03/05 15:35:58",,,
"7000","CharlieMbira","System.Byte[]","9807","(0)","0","Error","The l1vhlwf service failed to start due to the following error: 
%%3224698910","Service Control Manager","System.String[]","3221232472","2025/03/05 04:10:18","2025/03/05 04:10:18",,,
"3503","CharlieMbira","System.Byte[]","9708","(5000)","5000","Error","Device Association Service detected an endpoint discovery failure.","Microsoft-Windows-DeviceAssociationService","System.String[]","3503","2025/03/05 04:09:53","2025/03/05 04:09:53","",,
